episode,steps,reward,score,apples,two_apple_success,three_apple_success,epsilon,entropy,truncated
42,10,61.610000000000014,10,1,0,0,0.48960691098456277,1.2124875164394993,0
43,49,67.12000000000003,10,1,0,0,0.4893621075290705,1.2121297238448465,0
44,10,0.5599999999999998,0,0,0,0,0.489117426475306,1.2117719492668815,0
45,7,1.72,0,0,0,0,0.48887286776206834,1.211414192828744,0
46,58,108.56000000000009,20,2,1,0,0.48862843132818734,1.211056454653362,0
47,10,61.23000000000001,10,1,0,0,0.4883841171125233,1.2106987348634517,0
48,17,38.420000000000016,10,1,0,0,0.488139925053967,1.2103410335815166,0
49,9,-22.970000000000002,0,0,0,0,0.48789585509144007,1.2099833509298492,0
50,24,-20.17,0,0,0,0,0.4876519071638944,1.209625687030531,0
51,13,62.47000000000002,10,1,0,0,0.4874080812103125,1.209268042005432,0
52,49,57.46000000000003,10,1,0,0,0.48716437716970734,1.208910415976213,0
53,54,43.67000000000006,10,1,0,0,0.4869207949811225,1.208552809064323,0
54,33,-21.490000000000002,0,0,0,0,0.486677334583632,1.2081952213910023,0
55,12,38.57000000000001,10,1,0,0,0.4864339959163402,1.2078376530772819,0
56,9,63.61000000000001,10,1,0,0,0.486190778918382,1.2074801042439829,0
57,6,-23.75,0,0,0,0,0.48594768352892287,1.2071225750117187,0
58,60,34.84000000000003,10,1,0,0,0.48570470968715845,1.2067650655008932,0
59,56,156.7099999999999,20,2,1,0,0.4854618573323149,1.2064075758317032,0
60,18,64.59,10,1,0,0,0.4852191264036488,1.2060501061241367,0
61,10,2.23,0,0,0,0,0.48497651684044696,1.2056926564979749,0
62,7,36.95000000000001,10,1,0,0,0.48473402858202674,1.2053352270727928,0
63,9,1.85,0,0,0,0,0.48449166156773577,1.2049778179679567,0
64,17,35.47000000000001,10,1,0,0,0.4842494157369519,1.2046204293026288,0
65,19,62.99,10,1,0,0,0.48400729102908346,1.2042630611957637,0
66,7,61.32000000000001,10,1,0,0,0.48376528738356894,1.20390571376611,0
67,11,62.09000000000001,10,1,0,0,0.4835234047398772,1.2035483871322128,0
68,23,62.78000000000002,10,1,0,0,0.4832816430375073,1.2031910814124105,0
69,49,37.250000000000014,10,1,0,0,0.4830400022159886,1.202833796724837,0
70,8,38.21000000000001,10,1,0,0,0.48279848221488064,1.202476533187422,0
71,20,62.17000000000004,10,1,0,0,0.48255708297377325,1.2021192909178922,0
72,11,62.610000000000014,10,1,0,0,0.4823158044322864,1.201762070033769,0
73,18,37.69000000000003,10,1,0,0,0.48207464653007026,1.2014048706523712,0
74,13,38.27000000000002,10,1,0,0,0.48183360920680524,1.2010476928908145,0
75,8,1.6,0,0,0,0,0.48159269240220187,1.200690536866012,0
76,34,39.21000000000002,10,1,0,0,0.4813518960560008,1.200333402694674,0
77,12,37.52000000000001,10,1,0,0,0.48111122010797286,1.1999762904933093,0
78,18,63.69000000000001,10,1,0,0,0.4808706644979189,1.1996192003782242,0
79,61,125.90000000000003,20,2,1,0,0.48063022916566994,1.1992621324655244,0
80,9,37.69000000000001,10,1,0,0,0.4803899140510871,1.1989050868711142,0
81,8,36.93000000000001,10,1,0,0,0.48014971909406157,1.1985480637106969,0
